Warehouse,Shipment,Calls,Category_Calls,Rating,Satisfactions,Cost,Purchase,Category_Purchase,Importance,Gender,Discount,Category_Discount,Weight,Category_Weight,Late
F,Ship,5,> 4 (Tinggi),5,satisfied,227,3,Seldom,medium,M,36,> 7 (High),3952,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),5,satisfied,239,3,Seldom,high,M,18,> 7 (High),2495,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,145,3,Seldom,medium,M,45,> 7 (High),1059,0 - 1332 (Small),1
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,161,2,Seldom,medium,F,38,> 7 (High),1521,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,232,4,Often,medium,F,51,> 7 (High),2899,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),5,satisfied,156,2,Seldom,low,M,2,0 - 3 (Low),1750,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,211,3,Seldom,high,M,12,> 7 (High),3922,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),5,satisfied,251,2,Seldom,medium,F,28,> 7 (High),3561,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,225,4,Often,low,M,29,> 7 (High),3496,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,172,3,Seldom,high,F,24,> 7 (High),1066,0 - 1332 (Small),1
B,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,162,3,Seldom,medium,M,31,> 7 (High),1435,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,234,4,Often,low,M,44,> 7 (High),3134,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),4,satisfied,183,2,Seldom,low,F,36,> 7 (High),3819,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),4,satisfied,266,2,Seldom,medium,F,38,> 7 (High),2741,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,257,2,Seldom,low,F,61,> 7 (High),3341,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,223,3,Seldom,low,F,22,> 7 (High),3795,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,234,3,Seldom,medium,M,4,4 - 7 (Medium),3261,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,227,4,Often,medium,F,22,> 7 (High),2460,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),4,satisfied,149,3,Seldom,medium,F,44,> 7 (High),1811,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,137,4,Often,high,F,62,> 7 (High),1477,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),4,satisfied,181,6,Often,medium,F,16,> 7 (High),3605,1333 - 4149 (Medium),1
A,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,215,4,Often,low,F,56,> 7 (High),3905,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,269,5,Often,low,F,45,> 7 (High),2383,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,227,2,Seldom,low,M,15,> 7 (High),3798,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,139,4,Often,medium,M,61,> 7 (High),1265,0 - 1332 (Small),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,137,2,Seldom,medium,M,38,> 7 (High),1647,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,174,2,Seldom,low,M,44,> 7 (High),1556,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,151,2,Seldom,low,M,29,> 7 (High),1328,0 - 1332 (Small),1
B,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,210,3,Seldom,low,F,9,> 7 (High),2944,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),4,satisfied,169,4,Often,medium,F,32,> 7 (High),1245,0 - 1332 (Small),1
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,160,2,Seldom,low,M,32,> 7 (High),1576,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),4,satisfied,190,2,Seldom,medium,M,9,> 7 (High),3753,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,216,3,Seldom,low,F,40,> 7 (High),2146,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,183,3,Seldom,low,M,37,> 7 (High),2042,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),4,satisfied,141,3,Seldom,low,M,22,> 7 (High),1735,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,165,3,Seldom,low,F,44,> 7 (High),1320,0 - 1332 (Small),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,170,3,Seldom,low,M,41,> 7 (High),1128,0 - 1332 (Small),1
D,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,203,3,Seldom,high,M,12,> 7 (High),3539,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),5,satisfied,246,5,Often,low,M,46,> 7 (High),2437,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,238,3,Seldom,low,F,61,> 7 (High),3096,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,193,3,Seldom,medium,F,29,> 7 (High),3453,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),5,satisfied,141,3,Seldom,high,M,41,> 7 (High),1367,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,150,3,Seldom,high,F,17,> 7 (High),1923,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,221,3,Seldom,low,F,64,> 7 (High),2794,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,179,3,Seldom,medium,M,52,> 7 (High),1158,0 - 1332 (Small),1
A,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,105,6,Often,medium,M,62,> 7 (High),1292,0 - 1332 (Small),1
B,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,177,3,Seldom,medium,M,61,> 7 (High),1880,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),5,satisfied,261,2,Seldom,high,M,49,> 7 (High),3045,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,202,3,Seldom,low,M,49,> 7 (High),2881,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,109,3,Seldom,medium,F,15,> 7 (High),1710,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,158,3,Seldom,low,F,6,4 - 7 (Medium),1878,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,231,4,Often,medium,F,6,4 - 7 (Medium),2512,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),5,satisfied,206,3,Seldom,medium,M,39,> 7 (High),2929,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,187,4,Often,high,M,14,> 7 (High),3849,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,230,2,Seldom,low,F,2,0 - 3 (Low),2229,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),5,satisfied,232,3,Seldom,medium,F,33,> 7 (High),2998,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,215,3,Seldom,medium,F,21,> 7 (High),3984,1333 - 4149 (Medium),1
A,Ship,6,> 4 (Tinggi),1,neutral or dissatisfied,238,6,Often,low,F,13,> 7 (High),2442,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,266,3,Seldom,low,F,23,> 7 (High),3775,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,158,2,Seldom,medium,F,36,> 7 (High),1788,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,113,3,Seldom,low,F,43,> 7 (High),1518,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),4,satisfied,223,3,Seldom,low,M,18,> 7 (High),3959,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,257,2,Seldom,medium,F,56,> 7 (High),3711,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),4,satisfied,180,2,Seldom,medium,F,49,> 7 (High),1942,1333 - 4149 (Medium),1
B,Ship,2,2 - 4 (Rendah),5,satisfied,132,3,Seldom,low,M,18,> 7 (High),1759,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),4,satisfied,217,3,Seldom,high,F,26,> 7 (High),2875,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,162,3,Seldom,high,F,31,> 7 (High),1364,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),5,satisfied,197,2,Seldom,medium,F,40,> 7 (High),2710,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),4,satisfied,197,3,Seldom,medium,M,13,> 7 (High),2148,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,185,2,Seldom,low,M,44,> 7 (High),2910,1333 - 4149 (Medium),1
B,Ship,6,> 4 (Tinggi),2,neutral or dissatisfied,278,3,Seldom,medium,F,3,0 - 3 (Low),2974,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,229,3,Seldom,low,M,49,> 7 (High),2339,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,186,4,Often,medium,F,57,> 7 (High),3880,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,174,6,Often,high,F,41,> 7 (High),1085,0 - 1332 (Small),1
F,Ship,5,> 4 (Tinggi),5,satisfied,286,3,Seldom,low,F,18,> 7 (High),3163,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),4,satisfied,175,2,Seldom,medium,F,7,4 - 7 (Medium),1188,0 - 1332 (Small),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,219,3,Seldom,medium,F,17,> 7 (High),3387,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,213,4,Often,high,F,35,> 7 (High),2343,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,235,3,Seldom,low,M,57,> 7 (High),2034,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,149,2,Seldom,medium,M,18,> 7 (High),1225,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,271,2,Seldom,medium,F,8,> 7 (High),2401,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,144,4,Often,medium,M,5,4 - 7 (Medium),1104,0 - 1332 (Small),1
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,145,2,Seldom,medium,M,21,> 7 (High),1617,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,143,2,Seldom,medium,M,59,> 7 (High),1837,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,227,4,Often,low,M,53,> 7 (High),2624,1333 - 4149 (Medium),1
D,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,213,3,Seldom,low,M,29,> 7 (High),2732,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,144,4,Often,low,M,37,> 7 (High),1658,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,218,3,Seldom,low,M,3,0 - 3 (Low),2255,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,144,3,Seldom,medium,M,59,> 7 (High),1588,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,238,3,Seldom,low,M,17,> 7 (High),2624,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,216,3,Seldom,high,M,26,> 7 (High),2053,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),5,satisfied,238,3,Seldom,high,F,55,> 7 (High),3257,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,141,3,Seldom,medium,M,47,> 7 (High),1250,0 - 1332 (Small),1
A,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,158,2,Seldom,low,M,2,0 - 3 (Low),1284,0 - 1332 (Small),1
B,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,239,3,Seldom,low,F,65,> 7 (High),3679,1333 - 4149 (Medium),1
C,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,175,2,Seldom,low,M,25,> 7 (High),1816,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),2,neutral or dissatisfied,263,3,Seldom,low,M,41,> 7 (High),2817,1333 - 4149 (Medium),1
D,Road,3,2 - 4 (Rendah),5,satisfied,168,2,Seldom,high,M,50,> 7 (High),1616,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),4,satisfied,176,3,Seldom,high,M,36,> 7 (High),1779,1333 - 4149 (Medium),1
A,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,150,4,Often,high,M,60,> 7 (High),1024,0 - 1332 (Small),1
B,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,265,2,Seldom,medium,F,31,> 7 (High),2326,1333 - 4149 (Medium),1
C,Road,2,2 - 4 (Rendah),5,satisfied,263,3,Seldom,low,F,5,4 - 7 (Medium),2947,1333 - 4149 (Medium),1
F,Road,5,> 4 (Tinggi),1,neutral or dissatisfied,145,3,Seldom,low,M,20,> 7 (High),1387,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,183,3,Seldom,low,F,33,> 7 (High),2741,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,205,3,Seldom,medium,F,19,> 7 (High),2167,1333 - 4149 (Medium),1
A,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,160,3,Seldom,low,M,64,> 7 (High),1714,1333 - 4149 (Medium),1
B,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,252,2,Seldom,medium,F,48,> 7 (High),2102,1333 - 4149 (Medium),1
C,Road,5,> 4 (Tinggi),5,satisfied,222,3,Seldom,low,M,10,> 7 (High),2280,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,203,2,Seldom,low,M,25,> 7 (High),3607,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),5,satisfied,220,3,Seldom,medium,M,40,> 7 (High),3516,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,147,4,Often,low,F,60,> 7 (High),1722,1333 - 4149 (Medium),1
A,Road,4,2 - 4 (Rendah),4,satisfied,200,4,Often,medium,M,16,> 7 (High),2060,1333 - 4149 (Medium),1
B,Road,4,2 - 4 (Rendah),5,satisfied,224,4,Often,medium,M,21,> 7 (High),2026,1333 - 4149 (Medium),1
C,Road,3,2 - 4 (Rendah),5,satisfied,179,2,Seldom,low,F,17,> 7 (High),1364,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),4,satisfied,144,3,Seldom,low,M,50,> 7 (High),1865,1333 - 4149 (Medium),1
D,Flight,5,> 4 (Tinggi),2,neutral or dissatisfied,247,3,Seldom,low,M,17,> 7 (High),3889,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),4,satisfied,280,6,Often,medium,F,51,> 7 (High),3582,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,168,2,Seldom,medium,F,1,0 - 3 (Low),1829,1333 - 4149 (Medium),1
B,Flight,3,2 - 4 (Rendah),5,satisfied,157,3,Seldom,medium,F,4,4 - 7 (Medium),1889,1333 - 4149 (Medium),1
C,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,189,4,Often,medium,F,51,> 7 (High),2208,1333 - 4149 (Medium),1
F,Flight,3,2 - 4 (Rendah),5,satisfied,162,2,Seldom,medium,M,7,4 - 7 (Medium),1739,1333 - 4149 (Medium),1
D,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,207,5,Often,low,M,48,> 7 (High),2399,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,237,2,Seldom,low,F,10,> 7 (High),3860,1333 - 4149 (Medium),1
A,Flight,4,2 - 4 (Rendah),4,satisfied,264,3,Seldom,high,M,59,> 7 (High),2020,1333 - 4149 (Medium),1
B,Flight,5,> 4 (Tinggi),4,satisfied,149,3,Seldom,low,M,51,> 7 (High),1645,1333 - 4149 (Medium),1
C,Flight,5,> 4 (Tinggi),5,satisfied,162,3,Seldom,low,M,41,> 7 (High),1462,1333 - 4149 (Medium),1
F,Flight,2,2 - 4 (Rendah),1,neutral or dissatisfied,205,4,Often,medium,F,63,> 7 (High),2156,1333 - 4149 (Medium),1
D,Flight,2,2 - 4 (Rendah),1,neutral or dissatisfied,158,3,Seldom,medium,F,51,> 7 (High),1540,1333 - 4149 (Medium),1
F,Flight,2,2 - 4 (Rendah),2,neutral or dissatisfied,248,2,Seldom,low,M,46,> 7 (High),3707,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),5,satisfied,191,3,Seldom,low,M,23,> 7 (High),3750,1333 - 4149 (Medium),1
B,Flight,4,2 - 4 (Rendah),3,neutral or dissatisfied,146,4,Often,medium,F,24,> 7 (High),1844,1333 - 4149 (Medium),1
C,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,135,3,Seldom,low,M,56,> 7 (High),1490,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,149,3,Seldom,low,M,40,> 7 (High),1062,0 - 1332 (Small),1
D,Flight,4,2 - 4 (Rendah),4,satisfied,220,2,Seldom,medium,F,7,4 - 7 (Medium),2551,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),3,neutral or dissatisfied,98,5,Often,medium,M,44,> 7 (High),1269,0 - 1332 (Small),1
A,Flight,3,2 - 4 (Rendah),4,satisfied,97,4,Often,low,M,32,> 7 (High),1238,0 - 1332 (Small),1
B,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,183,2,Seldom,low,M,53,> 7 (High),3932,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,162,3,Seldom,medium,F,8,> 7 (High),1869,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,114,4,Often,low,F,47,> 7 (High),1443,1333 - 4149 (Medium),1
D,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,275,5,Often,low,M,41,> 7 (High),2491,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,203,2,Seldom,medium,F,39,> 7 (High),3845,1333 - 4149 (Medium),1
A,Ship,5,> 4 (Tinggi),5,satisfied,205,2,Seldom,high,M,65,> 7 (High),3671,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,149,3,Seldom,low,F,63,> 7 (High),1946,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),2,neutral or dissatisfied,112,4,Often,medium,M,56,> 7 (High),1138,0 - 1332 (Small),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,207,3,Seldom,medium,F,56,> 7 (High),3482,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,261,4,Often,low,F,58,> 7 (High),3427,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,274,3,Seldom,medium,M,6,4 - 7 (Medium),3375,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,141,2,Seldom,low,M,52,> 7 (High),1692,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,166,4,Often,medium,F,17,> 7 (High),1498,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,141,3,Seldom,high,F,34,> 7 (High),1020,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,152,3,Seldom,low,M,43,> 7 (High),1709,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,250,3,Seldom,low,F,53,> 7 (High),2478,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,161,3,Seldom,medium,F,28,> 7 (High),1809,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,185,3,Seldom,medium,F,10,> 7 (High),2263,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),4,satisfied,176,4,Often,high,F,52,> 7 (High),1096,0 - 1332 (Small),1
C,Ship,3,2 - 4 (Rendah),4,satisfied,148,3,Seldom,low,M,56,> 7 (High),1550,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,270,3,Seldom,low,F,63,> 7 (High),2751,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,242,3,Seldom,low,F,51,> 7 (High),3935,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),4,satisfied,150,2,Seldom,medium,M,3,0 - 3 (Low),1285,0 - 1332 (Small),1
A,Ship,4,2 - 4 (Rendah),5,satisfied,192,3,Seldom,high,M,20,> 7 (High),3872,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),5,satisfied,116,3,Seldom,medium,M,54,> 7 (High),1314,0 - 1332 (Small),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,192,3,Seldom,medium,F,2,0 - 3 (Low),3995,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,255,4,Often,medium,M,3,0 - 3 (Low),3440,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,161,7,Often,medium,F,18,> 7 (High),1294,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,157,3,Seldom,low,M,20,> 7 (High),1487,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,164,10,Often,high,F,28,> 7 (High),1940,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),5,satisfied,162,7,Often,medium,F,16,> 7 (High),1052,0 - 1332 (Small),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,146,2,Seldom,low,M,50,> 7 (High),1486,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,209,3,Seldom,medium,M,54,> 7 (High),3001,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),4,satisfied,134,2,Seldom,medium,F,55,> 7 (High),1386,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,222,2,Seldom,medium,M,5,4 - 7 (Medium),3778,1333 - 4149 (Medium),1
A,Ship,2,2 - 4 (Rendah),5,satisfied,139,3,Seldom,low,F,27,> 7 (High),1233,0 - 1332 (Small),1
B,Ship,2,2 - 4 (Rendah),4,satisfied,134,3,Seldom,low,F,42,> 7 (High),1415,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),5,satisfied,130,3,Seldom,low,M,16,> 7 (High),1092,0 - 1332 (Small),1
F,Ship,2,2 - 4 (Rendah),5,satisfied,133,3,Seldom,low,F,62,> 7 (High),1596,1333 - 4149 (Medium),1
D,Ship,2,2 - 4 (Rendah),4,satisfied,140,3,Seldom,low,F,7,4 - 7 (Medium),1411,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),2,neutral or dissatisfied,158,3,Seldom,low,M,28,> 7 (High),1968,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,270,4,Often,low,F,46,> 7 (High),1736,1333 - 4149 (Medium),1
B,Ship,2,2 - 4 (Rendah),5,satisfied,140,3,Seldom,low,F,30,> 7 (High),1030,0 - 1332 (Small),1
